;;Catálogo de indicadores económicos disponibles a consultar;
1568;                              Especies fiscales;Especies fiscales;Mensual
1569;                              Transferencias Ley 6955;Transferencias Ley 6955;Mensual
1570;                              Cafe;Cafe;Mensual
1571;                              Banano;Banano;Mensual
3679;     Ingresos, gasto y resultado financiero acumulado, Banco Cent;Ingresos, gasto y resultado financiero acumulado, Banco Central;Mensual
1824;          Resultado operativo acumulado base devengado del Banco Centr;Resultado operativo acumulado base devengado del Banco Central;Mensual
1825;          Ingresos base devengado;Ingresos base devengado;Mensual
1826;               Intereses ganados;Intereses ganados;Mensual
1827;               Comisiones ganadas;Comisiones ganadas;Mensual
1828;               Ingresos por intermediación cambiaria;Ingresos por intermediación cambiaria;Mensual
1829;               Otros ingresos;Otros ingresos;Mensual
1831;          Egresos base devengado;Egresos base devengado;Mensual
1832;               Intereses sobre Obligaciones en m/n;Intereses sobre Obligaciones en m/n;Mensual
1833;                    Intereses sobre ICP;Intereses sobre ICP;Mensual
1838;                    Intereses sobre depósitos electrónicos a plazo (DEP);Intereses sobre depósitos electrónicos a plazo (DEP);Mensual
1968;                    Intereses sobre BEM;Intereses sobre BEM;Mensual
3286;                    Otros intereses;Otros intereses;Mensual
21725;                    Intereses sobre Op. Pasivas en MIL;Intereses sobre Op. Pasivas en MIL;Mensual
1847;               Intereses sobre obligaciones en m/e;Intereses sobre obligaciones en m/e;Mensual
1848;                    Gastos sobre depósitos a plazo del público en bancos comerci;Gastos sobre depósitos a plazo del público en bancos comerciales;Mensual
1849;                    Intereses sobre títulos a plazo m/e;Intereses sobre títulos a plazo m/e;Mensual
1851;                    Intereses y otros gastos sobre la deuda externa;Intereses y otros gastos sobre la deuda externa;Mensual
1852;               Otros egresos;Otros egresos;Mensual
1853;                    Gastos administrativos y otros egresos;Gastos administrativos y otros egresos;Mensual
1854;                    Otros gastos;Otros gastos;Mensual
3680;     Ingresos, gasto y resultado financiero, Resto Sector Público;Ingresos, gasto y resultado financiero, Resto Sector Público No Financiero;Anual
1705;          Ingresos totales Resto Sector Público No Financiero;Ingresos totales Resto Sector Público No Financiero;Anual
3648;               Empresas Publicas;Empresas Publicas;Anual
3681;               Instituciones públicas descentralizadas;Instituciones públicas descentralizadas;Anual
1724;          Gastos totales Resto Sector Público No Financiero;Gastos totales Resto Sector Público No Financiero;Anual
3649;               Empresas Publicas;Empresas Publicas;Anual
3682;               Instituciones públicas descentralizadas;Instituciones públicas descentralizadas;Anual
1743;          Resultado Financiero Resto Sector Público No Financiero;Resultado Financiero Resto Sector Público No Financiero;Anual
2694;               Empresas Públicas;Empresas Públicas;Anual
2697;               Instituciones Públicas;Instituciones Públicas;Anual
2775;               Empresas Públicas;Empresas Públicas;Anual
2776;               Instituciones Públicas;Instituciones Públicas;Anual
3684;     IPC Base 1984 (Serie vieja);IPC Base 1984 (Serie vieja);Mensual
986;          Indice de Precios al Consumidor (IPC), alimentos, bebidas y;Indice de Precios al Consumidor (IPC), alimentos, bebidas y tabaco;Mensual
987;          Pan y cereales;Pan y cereales;Mensual
988;          Carnes y embutidos;Carnes y embutidos;Mensual
989;          Pescado;Pescado;Mensual
990;          Lacteos y huevos;Lacteos y huevos;Mensual
1003;          Indice de Precios al Consumidor (IPC), vestido y calzado;Indice de Precios al Consumidor (IPC), vestido y calzado;Mensual
1011;          Indice de Precios al Consumidor (IPC), vivienda;Indice de Precios al Consumidor (IPC), vivienda;Mensual
1014;          Electricidad;Electricidad;Mensual
1017;          Muebles y accesorios;Muebles y accesorios;Mensual
1023;          Cuidados médicos;Cuidados médicos;Mensual
1027;          Transporte;Transporte;Mensual
1031;          INDICE DE PRECIOS AL CONSUMIDOR-ESPARCIMIENTO Y EDUCACION;INDICE DE PRECIOS AL CONSUMIDOR-ESPARCIMIENTO Y EDUCACION;Mensual
1038;          INDICE DE PRECIOS AL CONSUMIDOR-OTROS BIENES Y SERVICIOS;INDICE DE PRECIOS AL CONSUMIDOR-OTROS BIENES Y SERVICIOS;Mensual
42934;          INDICE DE PRECIOS AL CONSU-ALIMENTOS PARA ANIMALES DOMESTICO;INDICE DE PRECIOS AL CONSU-ALIMENTOS PARA ANIMALES DOMESTICO;Mensual
42935;          INDICE DE PRECIOS AL CONSU-ALIMENTOS PARA ANIMALES DOMESTICO;INDICE DE PRECIOS AL CONSU-ALIMENTOS PARA ANIMALES DOMESTICO;Mensual
3685;     Liquidez total;Liquidez total;Mensual
1450;          Sistema bancario nacional;Sistema bancario nacional;Mensual
1451;               Liquidez total m/e;Liquidez total m/e;Mensual
1452;               Liquidez total m/n;Liquidez total m/n;Mensual
1453;               Liquidez total m/e;Liquidez total m/e;Mensual
1484;          Sistema financiero nacional;Sistema financiero nacional;Mensual
1485;               Liquidez total m/e;Liquidez total m/e;Mensual
1486;               Liquidez  total m/n;Liquidez  total m/n;Mensual
1801;               Liquidez total m/e;Liquidez total m/e;Mensual
3687;               Materiales de construcción;Materiales de construcción;Mensual
2202;                    Regulares;Regulares;Mensual
2203;                    Regulares;Regulares;Mensual
3689;     Mercado organizado negociación moneda extranjera;Mercado organizado negociación moneda extranjera;Semanal
3333;          Intervención del BCCR en las bandas cambiarias;Intervención del BCCR en las bandas cambiarias;Semanal
3334;               Compra;Compra;Nueva semanal
3335;               Venta;Venta;Nueva semanal
3690;     Multiplicador bancario;Multiplicador bancario;Mensual
1455;          Sistema bancario nacional;Sistema financiero nacional;Mensual
1491;          Sistema financiero nacional;Sistema financiero nacional;Mensual
3705;                    Para la agricultura;Para la agricultura;Mensual
2151;                         Regulares;Regulares;Mensual
2152;                         Regulares;Regulares;Mensual
3706;                    Para la agricultura;Para la agricultura;Mensual
2190;                         Regulares;Regulares;Mensual
2191;                         Regulares;Regulares;Mensual
3708;                    Para transporte;Para transporte;Mensual
2192;                         Regulares;Regulares;Mensual
2193;                         Regulares;Regulares;Mensual
3709;     Pasivos externos;Pasivos externos;Mensual
3710;          Pasivos externos de largo plazo;Pasivos externos de largo plazo;Mensual
1443;               bancos comerciales;bancos comerciales;Mensual
1477;               Otros intermediarios financieros;Otros intermediarios financieros;Mensual
3045;                    Otros intermediarios financieros;Otros intermediarios financieros;Mensual
1859;               Bancos comerciales;Bancos comerciales;Mensual
3588;               Banco central;Banco central;Mensual
3711;     Pasivos internos;Pasivos internos;Mensual
1365;          Numerario en poder del público;Numerario en poder del público;Mensual
1405;          Depósitos en cuenta corriente del sector privado;Depósitos en cuenta corriente del sector privado;Mensual
3612;               Bancos comerciales;Bancos comerciales;Mensual
1406;                    Cuenta corriente en m/n;Cuenta corriente en m/n;Mensual
1410;                    Cuenta corriente en m/e;Cuenta corriente en m/e;Mensual
1813;                    Cuenta corriente en m/e;Cuenta corriente en m/e;Mensual
3700;               Otros intermediarios financieros;Otros intermediarios financieros;Mensual
1460;                    Cuenta corriente m/n;Cuenta corriente m/n;Mensual
1464;                    Cuenta corriente m/e;Cuenta corriente m/e;Mensual
1791;                    Cuenta corriente m/e;Cuenta corriente m/e;Mensual
1489;          Numerario en poder del sistema financiero;Numerario en poder del sistema financiero;Mensual
1868;          Sistema de inversiones de corto plazo;Sistema de inversiones de corto plazo;Mensual
3321;          Depósitos electrónicos a plazo de banco central;Depósitos electrónicos a plazo de banco central;Mensual
3322;               DEP en m/n;DEP en m/n;Mensual
3643;          Depósitos a plazo del sector privado;Depósitos a plazo del sector privado;Mensual
3613;               Bancos comerciales;Bancos comerciales;Mensual
1408;                    Depósitos a plazo en m/n;Depósitos a plazo en m/n;Mensual
1412;                    Depósitos a plazo en m/e;Depósitos a plazo en m/e;Mensual
1815;                    Depósitos a plazo en m/e;Depósitos a plazo en m/e;Mensual
3701;               Otros intermediarios financieros;Otros intermediarios financieros;Mensual
1462;                    Depósitos a plazo m/n;Depósitos a plazo m/n;Mensual
1466;                    Depósitos a plazo m/e;Depósitos a plazo m/e;Mensual
1789;                    Depósitos a plazo m/e;Depósitos a plazo m/e;Mensual
3644;          Depósitos de ahorro a la vista del sector privado;Depósitos de ahorro a la vista del sector privado;Mensual
3614;               Bancos comerciales;Bancos comerciales;Mensual
1407;                    Depósitos ahorro a la vista en m/n;Depósitos ahorro a la vista en m/n;Mensual
1411;                    Depósitos ahorro a la vista en m/e;Depósitos ahorro a la vista en m/e;Mensual
1814;                    Depósitos ahorro a la vista en m/e;Depósitos ahorro a la vista en m/e;Mensual
3702;               Otros intermediarios financieros;Otros intermediarios financieros;Mensual
1461;                    Depósitos ahorro a la vista m/n;Depósitos ahorro a la vista m/n;Mensual
1465;                    Depósitos ahorro a la vista m/e;Depósitos ahorro a la vista m/e;Mensual
1788;                    Depósitos ahorro a la vista m/e;Depósitos ahorro a la vista m/e;Mensual
3755;          Títulos valores de banco central;Títulos valores de banco central;Mensual
1867;               BEM m/n;BEM m/n;Mensual
1870;               BEM m/e;BEM m/e;Mensual
3729;          DPUBTOT Constituida en Moneda nacional;DPUBTOT Constituida en Moneda nacional;Mensual
1316;               Deuda interna bonificada del Banco Central por tenedor;Deuda interna bonificada del Banco Central por tenedor;Mensual
1317;                    BEM a plazo en moneda nacional;BEM a plazo en moneda nacional;Mensual
1318;                         Sistema Financiero;Sistema Financiero;Mensual
3616;                              Sistema Bancario Nacional;Sistema Bancario Nacional;Mensual
19540;                                   BEM Bancos Privados;BEM Bancos Privados;Mensual
1325;                         Sector Público Financiero no Bancario;Sector Público Financiero no Bancario;Mensual
1332;                         Sector Publico no Financiero;Sector Publico no Financiero;Mensual
1351;                         Resto Sector Publico;Resto Sector Publico;Mensual
3744;                         Resto de unidades institucionales;Resto de unidades institucionales;Mensual
1353;                              Sector privado;Sector privado;Mensual
3730;     Posición externa neta;Posición externa neta;Mensual
1366;          Banco central;Banco central;Mensual
1456;          Sistema bancario nacional;Sistema bancario nacional;Mensual
1492;          Sistema financiero nacional;Sistema financiero nacional;Mensual
1998;          Sistema financiero nacional;Sistema financiero nacional;Mensual
2225;          sistema bancario nacional;sistema bancario nacional;Mensual
2336;          Banco central;Banco central;Mensual
3736;          Real Bilateral;Real Bilateral;Mensual
323;               Real Bilateral con EE.UU.;Real Bilateral con EE.UU.;Mensual
3240;                    Real Bilateral con EE.UU. (CE);Real Bilateral con EE.UU. (CE);Mensual
3241;                    Real Bilateral con EE.UU. (CD);Real Bilateral con EE.UU. (CD);Mensual
3242;                    Real Bilateral con EE.UU. (CT);Real Bilateral con EE.UU. (CT);Mensual
3740;               Régimen Regular;Régimen Regular;Mensual
2000;                    Tradicionales;Tradicionales;Mensual
2027;                    Otros productos no tradicionales;Otros productos no tradicionales;Mensual
2028;                    Otros productos no tradicionales;Otros productos no tradicionales;Mensual
2029;                         Industriales;Industriales;Mensual
2030;                         Industriales;Industriales;Mensual
2105;                         Agrícolas, del mar y otros;Agrícolas, del mar y otros;Mensual
3742;     Reservas Monetarias Internacionales;Reservas Monetarias Internacionales;Mensual
304;          Reservas Internacionales Netas del Banco Central;Reservas Internacionales Netas del Banco Central;Mensual
313;               Reservas Internacionales Brutas del Banco Central;Reservas Internacionales Brutas del Banco Central;Mensual
305;                    Moneda extranjera;Moneda extranjera;Mensual
306;                         Moneda y billetes;Moneda y billetes;Mensual
307;                         Depósitos;Depósitos;Mensual
308;                         Inversiones en valores extranjeros;Inversiones en valores extranjeros;Mensual
23284;                         Derivados Financieros;Derivados Financieros;Mensual
309;                    Posición de reserva en el FMI;Posición de reserva en el FMI;Mensual
310;                    Derechos especiales de giro;Derechos especiales de giro;Mensual
311;                    Oro;Oro;Mensual
312;                    Otros activos;Otros activos;Mensual
20894;          Reservas monetarias internacionales SBN;Reservas monetarias internacionales SBN;Mensual
314;               Reservas monetarias internacionales brutas en poder del SBN;Reservas monetarias internacionales brutas en poder del SBN;Mensual
315;               Reservas monetarias internacionales netas en poder del SBN;Reservas monetarias internacionales netas en poder del SBN;Mensual
20900;          Reservas monetarias internacionales SFN;Reservas monetarias internacionales SBNReservas monetarias internacionales SFN;Mensual
19747;               Reservas monetarias internacionales brutas en poder del SFN;Reservas monetarias internacionales brutas en poder del SFN;Mensual
19748;               Reservas monetarias internacionales netas en poder del SFN;Reservas monetarias internacionales netas en poder del SFN;Mensual
3745;     Deuda pública total;Saldo de la deuda pública total;Mensual
19414;          Deuda pública interna total;Saldo de la deuda pública interna total;Mensual
6425;               Deuda pública interna emitida por el Gobierno Central;Deuda pública interna emitida por el Gobierno Central;Mensual
1558;                    D. Int. Bonificada Del Gobierno Central a Valor Nominal;D. Int. Bonificada Del Gobierno Central a Valor Nominal;Mensual
21017;                    D.PUB.INT del Gobierno Central;D.PUB.INT del Gobierno Central;Mensual
21024;                    D.PUB.emitida por el Gob. Central según tipo instrument.;D.PUB.emitida por el Gob. Central según tipo instrument;Mensual
21033;                         D.PUB.INT emitida por el Gob. Central según TP col. T. fija;D.PUB.INT emitida por el Gob. Central según TP col. T. fija;Mensual
21040;                    Deud Int Bonif Gob. Central. Según acreedor a valor transado;Deud Int Bonif Gob. Central. Según acreedor a valor transado;Mensual
1514;                         Sistema Financiero;Sistema Financiero;Mensual
21061;                              Sistema Bancario Nacional;Sistema Bancario Nacional;Mensual
1550;                                   Banco Central de Costa Rica;Banco Central de Costa Rica;Mensual
21082;                                   Banco de Costa Rica;Banco de Costa Rica;Mensual
21083;                                   Banco Nacional de Costa Rica;Banco Nacional de Costa Rica;Mensual
21084;                                   Banco Anglo Costarricense;Banco Anglo Costarricense;Mensual
21085;                                   Banco Crédito Agricola de Cartago;Banco Crédito Agricola de Cartago;Mensual
21086;                                   Banco Popular Desarrollo Comunal;Banco Popular Desarrollo Comunal;Mensual
21087;                                   Bancos Privados;Bancos Privados;Mensual
21088;                              Otras sociedades de depósito no bancarias;Otras sociedades de depósito no bancarias;Mensual
21096;                                   Cooperativas;Cooperativas;Mensual
21097;                                   Financieras;Financieras;Mensual
21098;                                   Mutuales;Mutuales;Mensual
21100;                                   Otros intermediarios;Otros intermediarios;Mensual
84814;                              Otras sociedades financieras;Otras sociedades financieras;Mensual
84815;                                   Fondos de Inversión;Fondos de Inversión;Mensual
84816;                                   Fondos de Pensiones;Fondos de Pensiones;Mensual
84817;                                   Aseguradoras;Aseguradoras;Mensual
6433;                         D. púb. interna gob.cent. poder de bancos comerciales prop.D;D. púb. interna gob.cent. poder de sector financiero prop.D;Mensual
6437;                         D. púb.interna GOB. CENT.en poder del sector público;D. púb.interna GOB. CENT.en poder del sector público;Mensual
21101;                         Sector Público Global;Sector Público Global;Mensual
1547;                              Resto Sector Publico;Resto Sector Publico;Mensual
21726;                              Sector Financiero no Bancario;Sector Financiero no Bancario;Mensual
21102;                                   Instituto de Fomento y Asesoría Municipal;Instituto de Fomento y Asesoría Municipal;Mensual
21103;                                   Instituto Nacional de Fomento Cooperativo;Instituto Nacional de Fomento Cooperativo;Mensual
21104;                                   Instituto Nacional de Vivienda y Urbanismo;Instituto Nacional de Vivienda y Urbanismo;Mensual
21105;                                   Instituto Nacional de Seguros;Instituto Nacional de Seguros;Mensual
21106;                                   Banco Hipotecario de la Vivienda;Banco Hipotecario de la Vivienda;Mensual
21107;                                   Poder Judicial;Poder Judicial;Mensual
21727;                              Sector Publico no Financiero;Sector Publico no Financiero;Mensual
21109;                                   Caja Costarricense del Seguro Social;Caja Costarricense del Seguro Social;Mensual
21110;                                   Instituto Costarricense de Turismo;Instituto Costarricense de Turismo;Mensual
21111;                                   Instituto del Café;Instituto del Café;Mensual
21112;                                   Instituto Nacional de Aprendizaje;Instituto Nacional de Aprendizaje;Mensual
21113;                                   Consejo Técnico de Asistencia Med. Soc.;Consejo Técnico de Asistencia Med. Soc.;Mensual
21114;                                   Dirección General de Asiganaciones Familiares;Dirección General de Asiganaciones Familiares;Mensual
21115;                                   Instituto de Desarrollo Agrario;Instituto de Desarrollo Agrario;Mensual
21116;                                   Oficina para la Cooperación Internacional de la Salud;Oficina para la Cooperación Internacional de la Salud;Mensual
21117;                                   Consejo Nacional de Producción;Consejo Nacional de Producción;Mensual
21118;                                   Instituto Costarricense de Electricidad;Instituto Costarricense de Electricidad;Mensual
21119;                                   Empresa Servicios Públicos de Heredia;Empresa Servicios Públicos de Heredia;Mensual
21120;                                   Instituto Costarricense de Ferrocarriles;Instituto Costarricense de Ferrocarriles;Mensual
21121;                                   Instituto Costarricense de Puertos del Pacífico;Instituto Costarricense de Puertos del Pacífico;Mensual
21122;                                   Instituto Costarricense de Acueductos y Alcantarillados;Instituto Costarricense de Acueductos y Alcantarillados;Mensual
21123;                                   Refinadora Costarricense de Petróleo;Refinadora Costarricense de Petróleo;Mensual
21124;                                   Fábrica Nacional de Licores;Fábrica Nacional de Licores;Mensual
21125;                                   Junta de Protección Social de San José;Junta de Protección Social de San José;Mensual
21126;                                   Corporación Costarricense de Desarrollo S.A.;Corporación Costarricense de Desarrollo S.A.;Mensual
21108;                         Código Libre;Sector Publico no Financiero;Mensual
21127;                         Resto de unidades institucionales;Resto de unidades institucionales;Mensual
1769;                              Sector Externo;Sector Externo;Mensual
1770;                              Sector Privado;Sector Privado;Mensual
6426;               Deuda pública interna emitida por el BCCR;Deuda pública interna emitida por el BCCR;Mensual
21145;                    Deuda interna bonificada del Banco Central por tenedor;Deuda interna bonificada del Banco Central por tenedor;Mensual
21146;                         Sistema Financiero;Sistema Financiero;Mensual
21147;                              Sistema Bancario Nacional;Sistema Bancario Nacional;Mensual
21154;                                   BEM Bancos Privados;BEM Bancos Privados;Mensual
21148;                              Resto Otras Sociedades De Deposito;Resto Otras Sociedades De Deposito;Mensual
21155;                                   BEM Cooperativas;BEM Cooperativas;Mensual
21156;                                   BEM Financieras;BEM Financieras;Mensual
21157;                                   BEM Mutuales;BEM Mutuales;Mensual
21158;                                   BEM Otras Sociedades;BEM Otras Sociedades;Mensual
21159;                         Sector Público Global;Sector Público Global;Mensual
21185;                              Resto Sector Publico;Resto Sector Publico;Mensual
21718;                              Sector Público Financiero no Bancario;Sector Público Financiero no Bancario;Mensual
21719;                              Sector Publico no Financiero;Sector Publico no Financiero;Mensual
21186;                         Resto de unidades institucionales;Resto de unidades institucionales;Mensual
21187;                              Sector privado;Sector privado;Mensual
20978;          Deuda Publica Total Constituida en Moneda extranjera;Deuda Publica Total Constituida en Moneda extranjera;Mensual
20979;          Deuda Pública Total según emisor;Deuda Pública Total según emisor;Mensual
21189;               Deuda Gobierno Central Total;Deuda Gobierno Central Total;Mensual
21190;               Deuda BCCR Total;Deuda BCCR Total;Mensual
21191;               Deuda Resto del SECT.PUB Total;Deuda Resto del SECT.PUB Total;Mensual
3748;     Tasa básica pasiva;Tasa básica pasiva;Diaria
423;          Tasa básica pasiva calculada por el BCCR;Tasa básica pasiva calculada por el BCCR;Diaria
19519;          Tasa básica pasiva total peso relativo;Tasa básica pasiva total peso relativo;Nueva semanal
18889;               TB Banco Central;TB Banco Central Peso Relativo;Nueva semanal
18891;               TB Ministerio de Hacienda;TB Ministerio de Hacienda Peso Relativo;Nueva semanal
18893;               TB Bancos Comerciales Públicos;TB Bancos Comerciales Públicos Peso Relativos;Nueva semanal
18895;               TB Bancos Comerciales Privados;TB Bancos Comerciales Privados Peso Relativo;Nueva semanal
18898;               TB Otros Intermediarios Financieros;TB Otros Intermediarios Financieros Peso Relativo;Nueva semanal
19583;          Tasa básica pasiva total Tasa Promedio;Tasa básica pasiva total Tasa Promedio;Nueva semanal
18888;               TB Banco Central;TB Banco Central Tasa Relativa;Nueva semanal
18890;               TB Ministerio de Hacienda;TB Ministerio de Hacienda Tasa Promedio;Nueva semanal
18892;               TB Bancos Comerciales Públicos;TB Bancos Comerciales Públicos Tasa Promedio;Nueva semanal
18894;               TB Otros Intermediarios Financieros;TB Otros Intermediarios Financieros Tasa Promedio;Nueva semanal
18904;               TB Bancos Comerciales Privados;TB Bancos Comerciales Privados Tasa Promedio;Nueva semanal
19654;          Tasa básica pasiva calculada por el BCCR;Tasa básica pasiva calculada por el BCCR;Nueva semanal
22882;          Tasa Básica Pasiva Nuevo Cálculo;Tasa Básica Pasiva Nuevo Cálculo;Nueva semanal
22883;               Porcentajes;Porcentajes;Nueva semanal
22884;                    Bancos Públicos;Bancos Públicos;Nueva semanal
22885;                    Bancos Privados;Bancos Privados;Nueva semanal
22886;                    Cooperativas;Cooperativas;Nueva semanal
22888;                    Mutuales;Mutuales;Nueva semanal
22889;               Niveles;Niveles;Nueva semanal
22890;                    Bancos Públicos;Bancos Públicos;Nueva semanal
22891;                    Bancos Privados;Bancos Privados;Nueva semanal
22892;                    Cooperativas;Cooperativas;Nueva semanal
22894;                    Mutuales;Mutuales;Nueva semanal
24955;               Término de Ajuste;Término de Ajuste;Nueva semanal
25073;          Tasa Básica Pasiva Abril 2015;Tasa Básica Pasiva Abril 2015;Nueva semanal
25074;               Porcentajes;Porcentajes;Nueva semanal
25075;                    Bancos Públicos;Bancos Públicos;Nueva semanal
25076;                    Bancos Privados;Bancos Privados;Nueva semanal
25077;                    Cooperativas;Cooperativas;Nueva semanal
25078;                    Financieras;Financieras;Nueva semanal
25079;                    Mutuales;Mutuales;Nueva semanal
25080;               Niveles;Niveles;Nueva semanal
25081;                    Bancos Públicos;Bancos Públicos;Nueva semanal
25082;                    Bancos Privados;Bancos Privados;Nueva semanal
25083;                    Cooperativas;Cooperativas;Nueva semanal
25084;                    Financieras;Financieras;Nueva semanal
25085;                    Mutuales;Mutuales;Nueva semanal
3749;     Tasa básica pasiva;Tasa básica pasiva;Mensual
430;          Tasa básica pasiva calculada por el BCCR;Tasa básica pasiva calculada por el BCCR;Mensual
3752;     Tasas de interés internacionales;Tasas de interés internacionales;Diaria
348;          Tasa Libor;Tasa Libor;Diaria
349;               A 1 mes plazo;A 1 mes plazo;Diaria
350;               A 3 meses plazo;A 3 meses plazo;Diaria
351;               A 6 meses plazo;A 6 meses plazo;Diaria
352;               A 12 meses plazo;A 12 meses plazo;Diaria
353;          Prime rate;Prime rate;Diaria
354;               Prime rate;Prime rate;Diaria
3050;          Tasas del Tesoro de E.U.A. ;Tasas del Tesoro de E.U.A. ;Diaria
3035;               Letras del tesoro a 6 meses plazo;Letras del tesoro a 6 meses plazo;Diaria
3039;               Nota del Tesoro a 10 años plazo;Nota del Tesoro a 10 años plazo;Diaria
3040;               Nota del Tesoro a 2 años plazo;Nota del Tesoro a 2 años plazo;Diaria
3041;               Nota del Tesoro a 5 años plazo;Nota del Tesoro a 5 años plazo;Diaria
3042;               Bono del Tesoro a 30 años plazo;Bono del Tesoro a 30 años plazo;Diaria
3753;     Tipo de cambio del dólar respecto a otras monedas;Tipo de cambio del dólar respecto a otras monedas;Diaria
325;          Yen Japonés;Yen Japonés;Diaria
326;          Franco suizo;Franco suizo;Diaria
328;          Dólar canadiense;Dólar canadiense;Diaria
329;          Derechos especiales de giro;Derechos especiales de giro;Diaria
330;          Libra esterlina;Libra esterlina;Diaria
332;          Peso mexicano;Peso mexicano;Diaria
333;          Euro;Euro;Diaria
335;          Corona sueca;Corona sueca;Diaria
337;          Won coreano;Won coreano;Diaria
338;          Quetzal guatemalteco;Quetzal guatemalteco;Diaria
339;          Lempira hondureño;Lempira hondureño;Diaria
340;          Córdoba nicaragüense;Córdoba nicaragüense;Diaria
342;          Corona danesa;Corona danesa;Diaria
343;          Corona noruega;Corona noruega;Diaria
344;          Peso argentino;Peso argentino;Diaria
345;          Peso colombiano;Peso colombiano;Diaria
346;          Real brasilero;Real brasilero;Diaria
347;          Unidad de Desarrollo;Unidad de Desarrollo;Diaria
3043;          Peso República Dominicana;Peso República Dominicana;Diaria
3051;          Bolivar Venezolano;Bolivar Venezolano;Diaria
3052;          Dólar de Hong Kong;Dólar de Hong Kong;Diaria
3053;          Dólar de Taiwan;Dólar de Taiwan;Diaria
3054;          Peso Boliviano;Peso Boliviano;Diaria
3055;          Peso Chileno;Peso Chileno;Diaria
3056;          Rublo Ruso;Rublo Ruso;Diaria
3057;          Sol Peruano;Sol Peruano;Diaria
3364;          Yuan Chino;Yuan Chino;Diaria
3430;          Zloty de Polonia;Zloty de Polonia;Diaria
3433;          Dolar Australiano;Dolar Australiano;Diaria
20873;          Rupia de Sri Lanka;Rupia de Sri Lanka;Diaria
21251;          Bangladesh Taka;Bangladesh Taka;Diaria
21262;          Bath Tailandia;Bath Tailandia;Diaria
21263;          Rupiah Indonesia;Rupiah Indonesia;Diaria
21264;          Dirham Emiratos Arabes Unidos;Dirham Emiratos Arabes Unidos;Diaria
21265;          Dirham Marroquí;Dirham Marroquí;Diaria
21266;          Shekel Israelí;Shekel Israelí;Diaria
21267;          Rupee India;Rupee India;Diaria
21268;          Libre Egipcia;Libre Egipcia;Diaria
21269;          Dólar de Nueva Zelandia;Dólar de Nueva Zelandia;Diaria
21270;          Dólar de Singapur;Dólar de Singapur;Diaria
21766;          Dong Vietnamita;Dong Vietnamita;Diaria
21881;          Rand Sudafricano;Rand Sudafricano;Diaria
22204;          Dinar Jordano;Dinar Jordano;Diaria
25067;          Ringgit malayo;Ringgit malayo;Diaria
84857;          Peso uruguayo;Peso uruguayo;Diaria
3754;     Tipo de cambio en MONEX;Tipo de cambio en MONEX;Diaria
3434;          Primero;Primero;Diaria
3435;          Ultimo;Ultimo;Diaria
3436;          Mínimo;Mínimo;Diaria
3437;          Máximo;Máximo;Diaria
3438;          Promedio simple;Promedio simple;Diaria
3439;          Promedio Monex durante la sesión;Promedio Monex durante la sesión;Diaria
3440;          Promedio Monex sesión anterio;Promedio Monex sesión anterio;Diaria
3442;          Mejor oferta compra;Mejor oferta compra;Diaria
3443;          Mejor oferta venta;Mejor oferta venta;Diaria
40536;          Detalle por canal de negociación en Monex;Detalle por canal de negociación en Monex;Diaria
40537;               Tipo de cambio Subasta;Tipo de cambio Subasta;Diaria
40538;               Tipo de cambio Monex continuo;Tipo de cambio Monex continuo;Diaria
3760;          Total negociado por moneda;Total negociado por moneda;Mensual
2823;               Volumen negociado en colones;Volumen negociado en colones;Mensual
2824;               Volumen negociado en dólares;Volumen negociado en dólares;Mensual
3761;          Total negociado por plazo;Total negociado por plazo;Mensual
2825;               Plazo de 0 a 180 días;Plazo de 0 a 180 días;Mensual
2826;               Plazo de 181 a 360 días;Plazo de 181 a 360 días;Mensual
2827;               Plazo de 361 y más días;Plazo de 361 y más días;Mensual
3762;          Total negociado por sector;Total negociado por sector;Mensual
2821;               Sector público;Sector público;Mensual
2822;               Sector privado;Sector privado;Mensual
3763;     Variables de ajuste;Variables de ajuste;Anual
866;          Población al 30 de junio;Población al 30 de junio;Anual
950;          Población Inactiva;Población Inactiva;Anual
951;               Menores de 12 años;Menores de 12 años;Anual
952;               12 años o mas;12 años o mas;Anual
3656;          Fuerza de trabajo (FT);Fuerza de trabajo (FT);Anual
954;               Tasa neta de participación( FT/PT 12 años ó más);Tasa neta de participación( FT/PT 12 años ó más);Anual
955;               Tasa de ocupación( PO/PT 12 años ó más);Tasa de ocupación( PO/PT 12 años ó más);Anual
3727;               Población ocupada según industrias;Población ocupada según industrias;Anual
926;                    Pesca.;Pesca.;Anual
938;                    Salud y atención social;Salud y atención social;Anual
942;                    Actividades no bien especificadas;Actividades no bien especificadas;Anual
3764;     Variables históricas;Variables históricas;Mensual
1303;          Depósitos del Gob. Central por Subasta Conjunta en M/N;Depósitos del Gob. Central por Subasta Conjunta en M/N;Mensual
3779;     Importaciones CIF;Importaciones CIF;Mensual
159;          Preliminares (FUES);Preliminares (FUES);Mensual
38818;          Codigo producto;Codigo producto;Mensual
41330;               TOTAL Serie Desestacionalizada;TOTAL;Mensual
41331;                    Régimen Definitivo;Régimen Definitivo;Mensual
41333;                    Régimen Especial;Régimen Especial;Mensual
39176;          Codigo producto Acumulado;Codigo producto Acumulado;Mensual
39177;               TOTAL;TOTAL;Mensual
39178;                    NP001;NP001;Mensual
39179;                    NP002;NP002;Mensual
